Emp;Nome;Area;DivBAt;DivCpDT;Kd;Qtobin
1;Abril Educa;Outros;15.6;7.6;24.2;1.62501770567804
2;Aco Altona;Siderur & Metalur;18.6;64.7;23.3;0.403009559778119
3;AES Elpa;Energia Elétrica;25;3;12.2;0.519905667830099
4;AES Tiete;Energia Elétrica;23.2;34.6;8.3;2.2811358487428
5;Afluente T;Energia Elétrica;4.3;13.3;7.9;1.65248363909452
6;Aliansce;Outros;30.2;3.7;54.9;1.16951428248785
7;All Amer Lat;Transporte Serviç;36.6;17.5;19.8;0.547967963820479
8;Alpargatas;Textil;10.9;63.1;30.9;1.96792094366134
9;Ambev;Alimentos e Beb;5.8;26.6;35.9;4.78404064094143
10;Amil;Outros;32.3;51.4;17;1.95638048399179
11;Ampla Energ;Energia Elétrica;25.9;18.3;23.1;1.09709851864233
12;Anhanguera;Outros;20.4;7.3;20.6;1.44686685885245
13;Arezzo Co;Textil;14.8;45.5;36.3;5.31756339627799
14;Arteris;Transporte Serviç;53.5;14.6;11;1.49082404991717
15;Autometal;Veiculos e peças;28.7;20.3;16.1;1.03666845527758
16;Azevedo;Construção;13.4;52.6;40.3;0.38882929766164
17;B2W Varejo;Comércio;57.6;22.4;29.7;0.846047012720748
18;Bardella;Máquinas Indust;18.2;49.2;17.1;0.27093979289171
19;Battistella;Comércio;89.2;41.9;19;1.13655668740531
20;Baumer;Outros;12.6;71.4;12.2;0.926000358159062
21;Bematech;Eletroeletrônicos;5.3;35.3;32.1;0.557137709547532
22;BHG;Outros;27.5;40.8;14.4;0.954479857434006
23;BR Malls Par;Outros;25.2;17;42.8;0.922330887130226
24;BR Propert;Outros;34.1;12.9;27.2;0.824442884369086
25;Brasilagro;Agro e Pesca;10.9;37.6;86.3;0.804194135451567
26;Braskem;Química;42.5;10.5;25.7;0.555941930023673
27;BRF Foods;Alimentos e Beb;30.9;25.6;19.3;1.41481051368103
28;Brookfield;Construção;42;32.4;7;0.50291087494552
29;Cacique;Alimentos e Beb;51.4;99.1;42.6;0.764193733285906
30;Cambuci;Textil;60.5;50.2;30.5;0.806460759183267
31;Casan;Outros;10.6;45;15.6;2.02112332291629
32;CCR SA;Transporte Serviç;57;30.9;13.5;2.91253961847432
33;Ceb;Energia Elétrica;17.4;25.1;17.6;0.253318836389254
34;Cedro;Textil;37.2;57.8;14.3;0.545548350934407
35;Ceee-D;Energia Elétrica;16.4;29;34.9;0.132449072144169
36;Ceee-Gt;Energia Elétrica;4.9;50.9;18;0.012704980788724
37;Celesc;Energia Elétrica;7.2;22.7;40.9;0.255871399495795
38;Celpa;Energia Elétrica;41.9;21.1;39.9;0.338677053582375
39;Celpe;Energia Elétrica;31.6;22.7;13;0.662940569389961
40;Celul Irani;Papel e Celulose;33.8;29;19;0.466343567118344
41;Cemar;Energia Elétrica;44.6;25.9;13.4;0.762888091282066
42;Cemat;Energia Elétrica;32.4;45.8;27.7;0.459221112973494
43;Cemig;Energia Elétrica;39.7;43.9;12.4;0.763435086306339
44;Cesp;Energia Elétrica;14.6;28.5;23.5;0.47263667835967
45;Cia Hering;Textil;2.1;99.4;84.1;5.68959617164016
46;Cielo;Software e Dados;21.1;7.8;67.1;3.88399331725247
47;Coelba;Energia Elétrica;44.8;15;18.3;1.50098225193232
48;Coelce;Energia Elétrica;26.8;19.7;19.7;1.19025903190799
49;Comgas;Petróleo e Gas;42.2;38.1;10.9;1.50237956524573
50;Contax;Outros;44.5;16.8;9.5;0.942021171706483
51;Copasa;Outros;33.9;11.9;9.2;0.861997663526816
52;Copel;Energia Elétrica;15.4;8.4;31.1;0.429142720990645
53;Cosern;Energia Elétrica;33.7;17.6;12.4;1.21286247409063
54;Coteminas;Textil;26;56.8;13.9;0.511981555856485
55;CPFL Energia;Energia Elétrica;55.1;12.5;10.9;1.18244185558955
56;Cr2;Construção;28.5;80.8;9.5;0.631254197823848
57;Cremer;Textil;39.5;29.4;9.4;0.768251740983266
58;Csu Cardsyst;Outros;18.1;22.9;17.3;0.676720265433984
59;Cyre Com-Ccp;Outros;50.4;8.8;9.8;1.51531615874656
60;Cyrela Realt;Construção;30.5;22.1;5.6;0.736785998736795
61;Dasa;Outros;25.9;10.8;14.8;1.15718223153312
62;Dimed;Comércio;6.6;14.8;43.4;2.46157670681448
63;Direcional;Construção;25;44.8;3.1;0.849948680441517
64;Dohler;Textil;6.4;82.9;41.9;0.246458477389645
65;Dtcom Direct;Outros;7.9;67.2;92.2;1.70806266717616
66;Dufry Ag;Comércio;39.3;2.9;5.3;1.31942509752751
67;Duratex;Outros;31;28.4;10.9;1.22822770299479
68;Ecorodovias;Transporte Serviç;53;30.8;20.7;1.93504553615294
69;Elekeiroz;Química;13.9;45.6;35.7;0.33741932248587
70;Elektro;Energia Elétrica;36.3;25.8;13.9;1.33966786276317
71;Eletrobras;Energia Elétrica;30.4;9.4;8.2;0.277010864936381
72;Eletropaulo;Energia Elétrica;26.7;3;11.6;0.457134712318575
73;Embraer;Veiculos e peças;21.8;16.3;0.1;0.517904685070647
74;Embratel Part;Telecomunicações;7.3;24.3;15.1;0.682490524694418
75;Energias BR;Energia Elétrica;29.7;18.7;12.1;0.799400866662236
76;Energisa;Energia Elétrica;54.9;20.1;13.7;0.923490914783314
77;Equatorial;Energia Elétrica;33.7;26;24.4;0.521571563183438
78;Estacio Part;Outros;22.6;5;22;2.87568095111348
79;Estrela;Outros;29;87.7;56.1;0.264067316402901
